Day,Month,Year,Location,Gear,Tow,Species,Length,Date,Season,Sample
L,10,2009,BB,Seine,1,Atlantic silverside,55,15/10/2009,Fall,L-10-2009-BB-Seine
L,10,2009,BB,Seine,1,Atlantic silverside,62,15/10/2009,Fall,L-10-2009-BB-Seine
L,10,2009,BB,Seine,1,Atlantic silverside,48,15/10/2009,Fall,L-10-2009-BB-Seine
L,10,2009,BB,Seine,1,Atlantic silverside,53,15/10/2009,Fall,L-10-2009-BB-Seine
L,10,2009,BB,Seine,1,Atlantic silverside,51,15/10/2009,Fall,L-10-2009-BB-Seine
L,10,2009,BB,Seine,1,Atlantic silverside,47,15/10/2009,Fall,L-10-2009-BB-Seine
L,10,2009,BB,Seine,2,Atlantic silverside,43,15/10/2009,Fall,L-10-2009-BB-Seine
L,10,2009,BB,Seine,2,Atlantic silverside,49,15/10/2009,Fall,L-10-2009-BB-Seine
L,10,2009,BB,Seine,2,Winter Flounder,50,15/10/2009,Fall,L-10-2009-BB-Seine
L,10,2009,BB,Seine,2,Winter Flounder,56,15/10/2009,Fall,L-10-2009-BB-Seine
L,10,2009,BB,Seine,2,Winter Flounder,49,15/10/2009,Fall,L-10-2009-BB-Seine
L,10,2009,BB,Seine,2,Winter Flounder,44,15/10/2009,Fall,L-10-2009-BB-Seine
L,10,2009,BB,Seine,2,Winter Flounder,53,15/10/2009,Fall,L-10-2009-BB-Seine
L,10,2009,BB,Seine,2,Winter Flounder,48,15/10/2009,Fall,L-10-2009-BB-Seine
L,10,2009,BB,Seine,2,Winter Flounder,37,15/10/2009,Fall,L-10-2009-BB-Seine
L,10,2009,BB,Seine,2,Winter Flounder,47,15/10/2009,Fall,L-10-2009-BB-Seine
L,10,2009,BB,Seine,3,Atlantic silverside,73,15/10/2009,Fall,L-10-2009-BB-Seine
L,10,2009,BB,Seine,3,Atlantic silverside,51,15/10/2009,Fall,L-10-2009-BB-Seine
L,10,2009,BB,Seine,3,Winter Flounder,71,15/10/2009,Fall,L-10-2009-BB-Seine
L,10,2009,BB,Seine,3,Winter Flounder,43,15/10/2009,Fall,L-10-2009-BB-Seine
L,10,2009,BB,Seine,3,Winter Flounder,nm,15/10/2009,Fall,L-10-2009-BB-Seine
L,10,2009,BB,Seine,3,Winter Flounder,41,15/10/2009,Fall,L-10-2009-BB-Seine
L,10,2009,BB,Seine,3,Winter Flounder,45,15/10/2009,Fall,L-10-2009-BB-Seine
