SPECIES LANDED,SPECIES CODE,SPECIES LICENSE,LICENSE CODE,WEIGHT,YEAR,MONTH,DATE,DOCUMENT,NAFO UNIT,FISHING AREA,LAT,LONG,DOC CODE,COMMUNITY CODE,COMMUNITY,VALUE,AREA,SEASON,TRIP ID,NROW
SEA URCHINS,650,SEA URCHINS,650,471.741,2006,1,01/01/2006,SEA URCHIN MONITORING DOCUMENT,4XS,LFA 36,45.05,-66.45,126380,25309,LITTLE LEPREAU,957.63,Musquash,Winter,154345,1
SEA URCHINS,650,SEA URCHINS,650,399.165,2006,1,01/01/2006,SEA URCHIN MONITORING DOCUMENT,4XS,LFA 36,45.06667,-66.05,127518,25309,LITTLE LEPREAU,810.3,Musquash,Winter,154636,2
SEA URCHINS,650,SEA URCHINS,650,1632.95,2006,1,01/01/2006,SEA URCHIN MONITORING DOCUMENT,4XS,LFA 36,45.07967,-66.48767,143925,25309,LITTLE LEPREAU,3314.89,Musquash,Winter,154662,3
SEA URCHINS,650,SEA URCHINS,650,544.316,2006,1,01/01/2006,SEA URCHIN MONITORING DOCUMENT,4XS,LFA 36,45.06667,-66.05,127519,25309,LITTLE LEPREAU,1104.96,Musquash,Winter,154721,4
"SCALLOP, SEA",612,"SCALLOP, SEA",612,105.416,2006,1,01/01/2006,SCALLOP MONITORING DOCUMENT,4XS,6C,45.08333,-66.35,127072,24902,DIPPER HARBOUR,238.24,Musquash,Winter,154749,5
"SCALLOP, SEA",612,"SCALLOP, SEA",612,244.716,2006,1,01/01/2006,SCALLOP MONITORING DOCUMENT,4XS,6C,45.08333,-66.4,126769,24902,DIPPER HARBOUR,601.18,Musquash,Winter,154753,6
"SCALLOP, SEA",612,"SCALLOP, SEA",612,188.243,2006,1,01/01/2006,SCALLOP MONITORING DOCUMENT,4XS,6C,45.105,-66.36667,126846,24901,CHANCE HARBOUR,425.43,Musquash,Winter,154799,7
"SCALLOP, SEA",612,"SCALLOP, SEA",612,587.317,2006,1,01/01/2006,SCALLOP MONITORING DOCUMENT,4XS,6C,45.09767,-66.357,126831,24901,CHANCE HARBOUR,1327.34,Musquash,Winter,154841,8
"SCALLOP, SEA",612,"SCALLOP, SEA",612,730.382,2006,1,01/01/2006,SCALLOP MONITORING DOCUMENT,4XS,6C,45.11667,-66.48333,126949,25309,LITTLE LEPREAU,1650.66,Musquash,Winter,154962,9
"SCALLOP, SEA",612,"SCALLOP, SEA",612,150.594,2006,1,01/01/2006,SCALLOP MONITORING DOCUMENT,4XS,6C,45.1,-66.37,126847,24901,CHANCE HARBOUR,340.34,Musquash,Winter,155116,10
"SCALLOP, SEA",612,"SCALLOP, SEA",612,603.746,2006,1,01/01/2006,SCALLOP MONITORING DOCUMENT,4XS,6C,45.06667,-66.4,127155,24902,DIPPER HARBOUR,1523.17,Musquash,Winter,155125,11
"SCALLOP, SEA",612,"SCALLOP, SEA",612,344.998,2006,1,01/01/2006,SCALLOP MONITORING DOCUMENT,4XS,6C,45.08333,-66.35,127155,24902,DIPPER HARBOUR,870.39,Musquash,Winter,155125,12
"SCALLOP, SEA",612,"SCALLOP, SEA",612,423.546,2006,1,01/01/2006,SCALLOP MONITORING DOCUMENT,4XS,6C,45.1,-66.36833,127102,24901,CHANCE HARBOUR,957.21,Musquash,Winter,155184,13
"SCALLOP, SEA",612,"SCALLOP, SEA",612,423.546,2006,1,01/01/2006,SCALLOP MONITORING DOCUMENT,4XS,6C,45.13667,-66.21833,127102,24901,CHANCE HARBOUR,957.21,Musquash,Winter,155184,14
"SCALLOP, SEA",612,"SCALLOP, SEA",612,176.948,2006,1,01/01/2006,SCALLOP MONITORING DOCUMENT,4XS,6C,45.1,-66.35,127235,24902,DIPPER HARBOUR,399.9,Musquash,Winter,155404,15
"SCALLOP, SEA",612,"SCALLOP, SEA",612,169.418,2006,1,01/01/2006,SCALLOP MONITORING DOCUMENT,4XS,6C,45.12167,-66.32067,127232,24901,CHANCE HARBOUR,382.88,Musquash,Winter,155441,16
"SCALLOP, SEA",612,"SCALLOP, SEA",612,97.886,2006,1,01/01/2006,SCALLOP MONITORING DOCUMENT,4XS,6C,45.06667,-66.4,126967,24902,DIPPER HARBOUR,221.22,Musquash,Winter,155442,17
"SCALLOP, SEA",612,"SCALLOP, SEA",612,57.602,2006,1,01/01/2006,SCALLOP MONITORING DOCUMENT,4XS,1B,45.08333,-65.98333,127337,24902,DIPPER HARBOUR,130.18,Musquash,Winter,155474,18
"SCALLOP, SEA",612,"SCALLOP, SEA",612,183.462,2006,1,01/01/2006,SCALLOP MONITORING DOCUMENT,4XS,6C,45.06617,-66.487,127399,24902,DIPPER HARBOUR,414.62,Musquash,Winter,155544,19
"SCALLOP, SEA",612,"SCALLOP, SEA",612,550.386,2006,1,01/01/2006,SCALLOP MONITORING DOCUMENT,4XS,6C,45.07633,-66.45567,127399,24902,DIPPER HARBOUR,1243.87,Musquash,Winter,155544,20
"SCALLOP, SEA",612,"SCALLOP, SEA",612,421.963,2006,1,01/01/2006,SCALLOP MONITORING DOCUMENT,4XS,6C,45.08033,-66.49717,127399,24902,DIPPER HARBOUR,953.64,Musquash,Winter,155544,21
"SCALLOP, SEA",612,"SCALLOP, SEA",612,474.372,2006,1,01/01/2006,SCALLOP MONITORING DOCUMENT,4XS,6C,45.09767,-66.357,127236,24901,CHANCE HARBOUR,1072.08,Musquash,Winter,155551,22
"SCALLOP, SEA",612,"SCALLOP, SEA",612,287.577,2006,1,01/01/2006,SCALLOP MONITORING DOCUMENT,4XS,1B,45.15733,-65.99783,127327,24914,FIVE FATHOM HOLE,649.92,Musquash,Winter,155563,23
"SCALLOP, SEA",612,"SCALLOP, SEA",612,402.369,2006,1,01/01/2006,SCALLOP MONITORING DOCUMENT,4XS,6C,45.1,-66.35,127333,24901,CHANCE HARBOUR,909.35,Musquash,Winter,155571,24
"SCALLOP, SEA",612,"SCALLOP, SEA",612,545.904,2006,1,01/01/2006,SCALLOP MONITORING DOCUMENT,4XS,6C,45.09767,-66.357,127332,24901,CHANCE HARBOUR,1233.74,Musquash,Winter,155615,25
"SCALLOP, SEA",612,"SCALLOP, SEA",612,225.891,2006,1,01/01/2006,SCALLOP MONITORING DOCUMENT,4XS,6C,45.08333,-66.35,127425,24902,DIPPER HARBOUR,510.51,Musquash,Winter,155806,26
SEA URCHINS,650,SEA URCHINS,650,508.029,2006,1,01/01/2006,SEA URCHIN MONITORING DOCUMENT,4XS,LFA 36,45.06667,-66.05,127520,25303,BLACK'S HARBOUR,1031.3,Musquash,Winter,155809,27
"SCALLOP, SEA",612,"SCALLOP, SEA",612,39.175,2006,1,01/01/2006,SCALLOP MONITORING DOCUMENT,4XS,6C,45.05,-66.43333,127339,24902,DIPPER HARBOUR,88.54,Musquash,Winter,155813,28
SEA URCHINS,650,SEA URCHINS,650,508.029,2006,1,01/01/2006,SEA URCHIN MONITORING DOCUMENT,4XS,LFA 36,45.06667,-66.05,127521,25303,BLACK'S HARBOUR,1031.3,Musquash,Winter,155823,29
"SCALLOP, SEA",612,"SCALLOP, SEA",612,380.25,2006,1,01/01/2006,SCALLOP MONITORING DOCUMENT,4XS,6C,45.09767,-66.357,127651,24901,CHANCE HARBOUR,859.37,Musquash,Winter,155843,30
